neuronal_class,released_subclass,released_object_name,s3_key,size_bytes,regions_represented,download_authorized
Neuronal: Glutamatergic,L2/3 IT,L23-IT,Multiregion_2026/pseudobulk_objects/SEAAD_L23-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,337157346,MEC;LEC;ITG;MTG;FI;STG;DFC;AnG;V1C,false
Neuronal: Glutamatergic,L6 IT,L6-IT,Multiregion_2026/pseudobulk_objects/SEAAD_L6-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,128019724,HIP;MEC;LEC;ITG;MTG;FI;STG;DFC;AnG;V1C,false
Neuronal: Glutamatergic,L4 IT,L4-IT,Multiregion_2026/pseudobulk_objects/SEAAD_L4-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,145817470,MEC;ITG;MTG;FI;STG;DFC;AnG;V1C,false
Neuronal: Glutamatergic,L5 IT,L5-IT,Multiregion_2026/pseudobulk_objects/SEAAD_L5-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,244907247,MEC;LEC;ITG;MTG;FI;STG;DFC;AnG;V1C,false
Neuronal: Glutamatergic,L5 ET,L5-ET,Multiregion_2026/pseudobulk_objects/SEAAD_L5-ET_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,51405975,HIP;MEC;LEC;ITG;MTG;FI;STG;DFC;AnG;V1C,false
Neuronal: Glutamatergic,L6 CT,L6-CT,Multiregion_2026/pseudobulk_objects/SEAAD_L6-CT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,143481432,HIP;MEC;LEC;ITG;MTG;FI;STG;DFC;AnG;V1C,false
Neuronal: Glutamatergic,L6b,L6b,Multiregion_2026/pseudobulk_objects/SEAAD_L6b_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,154817825,HIP;MEC;LEC;ITG;MTG;FI;STG;DFC;AnG;V1C,false
Neuronal: Glutamatergic,L6 IT Car3,L6-IT-Car3,Multiregion_2026/pseudobulk_objects/SEAAD_L6-IT-Car3_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,78549894,MEC;ITG;MTG;FI;STG;DFC;AnG;V1C,false
Neuronal: Glutamatergic,L5/6 NP,L56-NP,Multiregion_2026/pseudobulk_objects/SEAAD_L56-NP_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,117094493,MEC;LEC;ITG;MTG;FI;STG;DFC;AnG;V1C,false
Neuronal: Glutamatergic,EC IT,EC-IT,Multiregion_2026/pseudobulk_objects/SEAAD_EC-IT_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei_pseudobulked.2026-06-22.h5ad,67558893,MEC;LEC,false
